Type of House,Property Value,bed,bath,Area (Sqft),Latitude,Longitude,Number_of_Parks_Nearby,Number_of_Malls_Nearby,Number_of_Metros_Nearby,Number_of_Clubs_Nearby,Number_of_Restaurants_Nearby,Number_of_Schools_Nearby,Number_of_Colleges_Nearby,Number_of_Universities_Nearby,Number_of_Buses_Nearby,Number_of_Trains_Nearby,Number_of_Airports_Nearby,Number_of_Museums_Nearby,Number_of_Libraries_Nearby,Number_of_Grocery_stores_Nearby,borough,Zip Code,total lot size(sqft),Distance_to_Nearest_Parks_miles_binned,Distance_to_Nearest_Malls_miles_binned,Distance_to_Nearest_Metros_miles_binned,Distance_to_Nearest_Clubs_miles_binned,Distance_to_Nearest_Restaurants_miles_binned,Distance_to_Nearest_Schools_miles_binned,Distance_to_Nearest_Colleges_miles_binned,Distance_to_Nearest_Universities_miles_binned,Distance_to_Nearest_Buses_miles_binned,Distance_to_Nearest_Trains_miles_binned,Distance_to_Nearest_Airports_miles_binned,Distance_to_Nearest_Museums_miles_binned,Distance_to_Nearest_Libraries_miles_binned,Distance_to_Nearest_Grocery_stores_miles_binned,Precinct,Safety_Score
House for sale,1649000.0,3,2.5,2400.0,40.6125626,-74.0934849,1,0,7,1,162,17,1,1,586,7,0,8,1,19,Staten Island,10301,5000.0,2–3 miles,4+ miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,3–4 miles,0–1 miles,120.0,55.3387983997714
Co-op for sale,6668000.0,3,3.5,1549.5,40.7647849,-73.9679849,15,3,115,40,2954,177,12,21,1583,122,1,31,23,207,Manhattan,10065,5700.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
House for sale,150000.0,5,2,2040.0,40.6633104,-73.8958753,27,1,60,9,364,91,1,0,1447,62,0,1,3,64,Brooklyn,11207,2614.0,0–1 miles,2–3 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,0–1 miles,0–1 miles,75.0,0.0
House for sale,1898888.0,4,3,2485.0,40.7529635,-73.8804156,4,2,34,14,964,36,0,0,1254,38,1,1,4,135,Queens,11372,4000.0,1–2 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,2–3 miles,0–1 miles,115.0,45.17588226889556
House for sale,969000.0,3,2.5,2169.0,40.6567401,-73.8437901,14,1,30,4,125,24,0,0,778,35,0,0,2,24,Queens,11414,2169.0,1–2 miles,1–2 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,2–3 miles,0–1 miles,106.0,62.766447838413015
House for sale,750000.0,3,2.5,1440.0,40.8516195,-73.8587569,40,0,49,3,153,139,0,0,1034,55,1,1,4,55,Bronx,10462,1942.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,3–4 miles,0–1 miles,0–1 miles,43.0,21.901610944420632
House for sale,729000.0,3,3,868.0,40.6872252,-73.7969082,15,0,22,8,281,39,1,0,1324,37,0,0,2,66,Queens,11435,2000.0,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,103.0,45.17588226889556
House for sale,959000.0,4,3.5,1500.0,40.7378992,-73.8082822,17,2,18,3,537,33,1,0,1377,29,0,1,3,101,Queens,11365,3000.0,0–1 miles,1–2 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,107.0,62.766447838413015
House for sale,1288000.0,4,2.5,1700.0,40.7285703,-73.7853152,18,1,11,1,366,35,1,0,1368,21,0,1,2,82,Queens,11366,4000.0,1–2 miles,3–4 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,107.0,62.766447838413015
House for sale,799999.0,4,2,1800.0,40.5475788,-74.1882589,1,0,8,0,110,12,0,0,240,8,0,1,0,10,Staten Island,10312,6000.0,3–4 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,123.0,85.32013501928847
