Type of House,Property Value,bed,bath,Area (Sqft),Latitude,Longitude,Number_of_Parks_Nearby,Number_of_Malls_Nearby,Number_of_Metros_Nearby,Number_of_Clubs_Nearby,Number_of_Restaurants_Nearby,Number_of_Schools_Nearby,Number_of_Colleges_Nearby,Number_of_Universities_Nearby,Number_of_Buses_Nearby,Number_of_Trains_Nearby,Number_of_Airports_Nearby,Number_of_Museums_Nearby,Number_of_Libraries_Nearby,Number_of_Grocery_stores_Nearby,borough,Zip Code,total lot size(sqft),Distance_to_Nearest_Parks_miles_binned,Distance_to_Nearest_Malls_miles_binned,Distance_to_Nearest_Metros_miles_binned,Distance_to_Nearest_Clubs_miles_binned,Distance_to_Nearest_Restaurants_miles_binned,Distance_to_Nearest_Schools_miles_binned,Distance_to_Nearest_Colleges_miles_binned,Distance_to_Nearest_Universities_miles_binned,Distance_to_Nearest_Buses_miles_binned,Distance_to_Nearest_Trains_miles_binned,Distance_to_Nearest_Airports_miles_binned,Distance_to_Nearest_Museums_miles_binned,Distance_to_Nearest_Libraries_miles_binned,Distance_to_Nearest_Grocery_stores_miles_binned,Precinct,Safety_Score
Multi-family home for sale,1399000.0,2,3,2100.0,40.6118455,-74.0037431,2,0,53,0,428,73,1,0,1107,53,0,1,3,79,Brooklyn,11214,2000.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,2–3 miles,0–1 miles,62.0,62.766447838413015
Condo for sale,2150000.0,2,2,1205.0,40.7764955,-73.9891028,14,3,90,19,2212,159,12,14,1355,97,1,28,23,162,Manhattan,10069,1205.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Condo for sale,2150000.0,2,2,1205.0,40.7764955,-73.9891028,14,3,90,19,2214,159,12,14,1355,97,1,28,23,162,Manhattan,10069,1205.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Pending,1349000.0,4,2.5,1480.0,40.6270002,-74.0220087,2,0,42,0,424,54,0,0,901,42,0,1,2,71,Brooklyn,11209,2000.0,0–1 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,68.0,69.5065204120069
Pending,1349000.0,4,2.5,1480.0,40.6270002,-74.0220087,2,0,42,0,423,54,0,0,901,42,0,1,2,71,Brooklyn,11209,2000.0,0–1 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,68.0,69.5065204120069
Multi-family home for sale,975000.0,Studio,1,600.0,40.6912276,-73.8547593,16,1,58,10,492,61,1,0,1458,65,0,0,4,79,Queens,11421,2258.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,102.0,62.766447838413015
Pending,1249500.0,3,2,1549.5,40.8160048,-73.9603281,27,0,62,3,875,204,4,1,952,65,0,19,13,111,Manhattan,10027,2200.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,26.0,85.32013501928847
Multi-family home for sale,1659999.0,5,4.5,3278.0,40.536644,-74.1791551,1,0,8,0,104,3,0,0,221,8,0,1,0,10,Staten Island,10312,5680.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,123.0,85.32013501928847
Multi-family home for sale,1659999.0,5,4.5,3278.0,40.536644,-74.1791551,1,0,8,0,103,3,0,0,221,8,0,1,0,10,Staten Island,10312,5680.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,123.0,85.32013501928847
House for sale,4850000.0,4,1,4313.0,40.6664614,-73.9882394,9,0,84,5,940,151,3,0,1279,86,0,14,8,129,Brooklyn,11215,4313.0,1–2 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,78.0,75.10102633709577
House for sale,2488888.0,4,3.5,4771.0,40.5307897,-74.1621142,1,0,8,0,89,2,0,0,196,8,0,1,0,8,Staten Island,10312,9000.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,2–3 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,4+ miles,1–2 miles,123.0,85.32013501928847
Condo for sale,1850000.0,2,2,1050.0,40.7020368,-73.988761,25,1,133,39,2570,185,11,15,1381,142,1,37,15,196,Brooklyn,11201,1050.0,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,84.0,69.5065204120069
Co-op for sale,1100000.0,1,2,750.0,40.7588081,-73.9647057,16,3,122,43,3187,178,12,21,1599,128,1,36,25,219,Manhattan,10022,800.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Co-op for sale,1100000.0,1,2,750.0,40.7588081,-73.9647057,16,3,122,43,3194,178,12,21,1599,128,1,36,25,218,Manhattan,10022,800.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Condo for sale,1360000.0,2,2,1000.0,40.7198559,-73.8425832,15,2,38,7,712,51,1,0,1538,44,0,1,3,130,Queens,11375,1000.0,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,112.0,75.10102633709577
Co-op for sale,6668000.0,7,5.5+,6000.0,40.7789146,-73.9619806,18,2,99,21,2243,188,10,11,1465,105,1,25,22,188,Manhattan,10028,6000.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,3–4 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,6668000.0,7,5.5+,6000.0,40.7789146,-73.9619806,18,2,99,21,2249,188,10,11,1465,105,1,25,22,187,Manhattan,10028,6000.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,3–4 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,1395000.0,2,1,1200.0,40.7444657,-73.9968738,20,3,127,37,3243,154,14,23,1586,142,1,49,28,195,Manhattan,10011,1200.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,10.0,75.10102633709577
Co-op for sale,1395000.0,2,1,1200.0,40.7444657,-73.9968738,20,3,127,37,3247,154,14,23,1586,142,1,49,28,195,Manhattan,10011,1200.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,10.0,75.10102633709577
Co-op for sale,580000.0,1,1,750.0,40.790542,-73.9676323,18,1,85,8,1761,190,7,7,1313,90,0,18,25,144,Manhattan,10025,2100.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,24.0,69.5065204120069
Multi-family home for sale,1250000.0,5,3.5+,3397.0,40.8209733,-73.806915,16,0,7,0,60,37,0,0,365,7,1,1,4,13,Bronx,10465,4983.0,1–2 miles,4+ miles,2–3 miles,4+ miles,1–2 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,2–3 miles,1–2 miles,1–2 miles,1–2 miles,1–2 miles,45.0,62.766447838413015
Condo for sale,988000.0,2,2,1118.0,40.7571311,-73.8343021,13,2,17,3,579,32,1,0,1174,23,1,1,4,94,Queens,11354,1118.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,109.0,35.425132161737395
House for sale,2700000.0,5,2,2690.0,40.5801506,-73.9494428,3,0,23,1,177,45,1,0,702,23,1,1,2,33,Brooklyn,11235,6000.0,2–3 miles,4+ miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,3–4 miles,2–3 miles,1–2 miles,0–1 miles,61.0,62.766447838413015
House for sale,1230000.0,3,1.5,1376.0,40.5940264,-73.9787708,2,0,40,0,265,68,1,0,991,40,0,1,3,58,Brooklyn,11223,1660.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,61.0,62.766447838413015
Pending,389900.0,3,1,1080.0,40.5640043,-74.0998326,2,0,6,0,91,9,0,0,262,6,0,0,1,13,Staten Island,10306,1799.0,1–2 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,122.0,69.5065204120069
Condo for sale,6668000.0,6,7.5,5900.0,40.7139395,-74.0082193,18,2,122,33,2698,161,11,20,1226,135,1,43,16,175,Manhattan,10007,13068.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,1.0,55.3387983997714
Condo for sale,3850000.0,5,4,2273.0,40.7660051,-73.9884345,16,3,104,31,2762,162,12,21,1489,114,1,34,25,183,Manhattan,10019,13780.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,18.0,45.17588226889556
House for sale,775000.0,3,1.5,1549.5,40.6302868,-73.9356377,14,0,47,2,198,112,1,0,1382,47,1,3,3,65,Brooklyn,11210,1950.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,70.0,55.3387983997714
Condo for sale,735000.0,Studio,1,582.0,40.702004,-73.9870531,25,1,134,39,2564,186,11,15,1400,143,1,37,15,197,Brooklyn,11201,582.0,0–1 miles,2–3 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,84.0,69.5065204120069
Co-op for sale,255000.0,2,2,1000.0,40.8562874,-73.8688206,49,1,61,5,186,159,0,0,1095,69,1,1,6,61,Bronx,10462,1000.0,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,0–1 miles,0–1 miles,43.0,21.901610944420632
Co-op for sale,650000.0,Studio,1,657.5,40.7526372,-73.9658847,17,3,127,46,3389,184,12,21,1607,133,1,41,24,231,Manhattan,10017,13780.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Co-op for sale,625000.0,1,1,700.0,40.7152214,-73.9819469,27,2,149,46,3039,182,14,20,1508,161,1,43,16,206,Manhattan,10002,13780.0,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,7.0,69.5065204120069
Co-op for sale,725000.0,1,1,750.0,40.7708925,-73.9595936,13,3,108,29,2513,184,10,14,1548,114,1,27,22,206,Manhattan,10021,13780.0,1–2 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Pending,3000000.0,3,2,1549.5,40.7372429,-73.9873401,21,3,140,40,3222,192,14,23,1547,154,1,46,28,210,Manhattan,10003,2200.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,9.0,62.766447838413015
Multi-family home for sale,900000.0,6,3,3020.0,40.6653246,-73.8698379,22,1,48,7,207,52,0,0,1176,51,0,0,3,42,Brooklyn,11208,2520.0,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,75.0,0.0
Condo for sale,947500.0,2,2,1446.0,40.8879694,-73.9121164,33,1,36,2,150,96,0,0,502,47,0,3,5,45,Bronx,10463,1446.0,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,50.0,69.5065204120069
Co-op for sale,475000.0,Studio,1,400.0,40.7702266,-73.9592521,13,3,109,30,2534,181,10,14,1558,115,1,27,22,205,Manhattan,10021,1750.0,1–2 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,1295000.0,3,2,1549.5,40.7540096,-73.9637466,16,3,123,47,3348,179,12,21,1618,128,1,41,24,226,Manhattan,10022,2200.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Townhouse for sale,1750000.0,3,2,1950.0,40.6527125,-74.0035862,4,0,76,2,823,108,1,0,1129,77,0,8,5,111,Brooklyn,11232,2271.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,72.0,62.766447838413015
Co-op for sale,549000.0,Studio,1,515.0,40.7743373,-73.9529455,19,2,103,24,2318,187,10,11,1558,108,1,23,21,195,Manhattan,10028,5920.3,1–2 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,3850000.0,2,2,3000.0,40.7232102,-74.0020647,19,2,131,38,3073,174,13,20,1356,147,1,44,18,183,Manhattan,10012,3000.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1.0,55.3387983997714
Co-op for sale,3600000.0,2,2.5,1100.0,40.7646663,-73.9725194,15,3,115,37,2950,174,12,21,1576,122,1,33,24,200,Manhattan,10022,1260.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Contingent,749000.0,5,2.5,2840.0,40.634772,-74.094065,1,0,4,1,122,21,1,1,550,8,0,8,0,16,Staten Island,10301,6235.0,2–3 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,120.0,55.3387983997714
Contingent,749000.0,5,2.5,2840.0,40.634772,-74.094065,1,0,4,1,126,21,1,1,550,8,0,8,0,17,Staten Island,10301,6235.0,2–3 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,120.0,55.3387983997714
Condo for sale,599000.0,2,2,793.0,40.739284,-73.893173,2,0,49,20,1161,59,1,0,1434,53,0,2,5,146,Queens,11377,793.0,2–3 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,3–4 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,1–2 miles,0–1 miles,108.0,62.766447838413015
Co-op for sale,575000.0,3,2,1635.5,40.8226342,-73.9269541,36,0,77,6,544,220,4,1,1147,83,0,14,10,101,Bronx,10451,2500.0,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,44.0,21.901610944420632
Pending,349500.0,1,1,750.0,40.7381099,-73.9253899,9,0,79,38,1918,138,4,2,1716,83,1,10,12,205,Queens,11104,800.0,1–2 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,2–3 miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,0–1 miles,0–1 miles,108.0,62.766447838413015
Condo for sale,550000.0,1,1,660.0,40.7550093,-73.8315863,13,2,15,3,579,30,1,0,1186,21,1,1,4,95,Queens,11355,660.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,1–2 miles,0–1 miles,109.0,35.425132161737395
House for sale,1350000.0,Studio,1,600.0,40.6792184,-73.8708441,22,1,58,9,412,73,0,0,1412,63,0,0,4,68,Brooklyn,11208,1667.0,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,75.0,0.0
Pending,859000.0,3,2,1950.0,40.525793,-74.2145621,3,0,8,0,87,9,0,0,187,8,0,1,0,8,Staten Island,10309,7499.0,2–3 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,123.0,85.32013501928847
Pending,5800000.0,2,2.5,4000.0,40.7264951,-73.9968139,21,3,143,41,3192,183,13,21,1429,159,1,46,20,195,Manhattan,10012,4000.0,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,0–1 miles,1.0,55.3387983997714
Townhouse for sale,428888.0,2,1,960.0,40.6301089,-74.1643341,8,0,0,2,92,23,0,0,322,1,0,3,0,11,Staten Island,10303,2030.0,1–2 miles,4+ miles,4+ miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,2–3 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,121.0,62.766447838413015
Pending,925000.0,4,3.5,2100.0,40.5132335,-74.2445768,6,0,6,0,59,15,0,0,165,8,0,1,0,6,Staten Island,10307,3719.0,1–2 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,4+ miles,0–1 miles,123.0,85.32013501928847
Multi-family home for sale,434900.0,Studio,1,1600.0,40.8406455,-73.8514733,34,0,42,3,140,112,0,0,912,46,1,0,4,45,Bronx,10461,1465.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,49.0,55.3387983997714
Co-op for sale,575000.0,1,1,750.0,40.7716312,-73.9646996,14,3,107,27,2541,186,11,14,1542,114,1,29,23,202,Manhattan,10021,8715.0,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Co-op for sale,575000.0,1,1,750.0,40.7716312,-73.9646996,14,3,107,27,2545,186,11,14,1542,114,1,29,23,201,Manhattan,10021,8715.0,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,19.0,45.17588226889556
Multi-family home for sale,1150000.0,6,4,3330.0,40.8463782,-73.8657724,47,0,57,5,152,160,0,0,1086,64,1,1,4,52,Bronx,10462,2126.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,3–4 miles,0–1 miles,0–1 miles,43.0,21.901610944420632
House for sale,718888.0,3,2.5,1764.0,40.606475,-74.065855,1,0,10,0,203,11,1,1,606,10,0,1,0,22,Staten Island,10305,2424.0,2–3 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,122.0,69.5065204120069
House for sale,718888.0,3,2.5,1764.0,40.606475,-74.065855,1,0,10,0,207,11,1,1,606,10,0,1,0,23,Staten Island,10305,2424.0,2–3 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,1–2 miles,0–1 miles,1–2 miles,4+ miles,1–2 miles,4+ miles,0–1 miles,122.0,69.5065204120069
Multi-family home for sale,3398000.0,2,4,2796.0,40.6186968,-74.0179538,2,0,46,0,386,54,1,0,902,46,0,1,2,68,Brooklyn,11228,6000.0,0–1 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,3–4 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,68.0,69.5065204120069
Multi-family home for sale,3398000.0,2,4,2796.0,40.6186968,-74.0179538,2,0,46,0,385,54,1,0,902,46,0,1,2,68,Brooklyn,11228,6000.0,0–1 miles,4+ miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,3–4 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,2–3 miles,1–2 miles,0–1 miles,68.0,69.5065204120069
Co-op for sale,2500000.0,3,3,2200.0,40.7883908,-73.9542857,21,1,93,16,1891,215,8,5,1418,96,0,21,24,164,Manhattan,10029,5046.0,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,23.0,62.766447838413015
Co-op for sale,2500000.0,3,3,2200.0,40.7883908,-73.9542857,21,1,93,16,1897,215,8,5,1418,96,0,21,24,163,Manhattan,10029,5046.0,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,23.0,62.766447838413015
Multi-family home for sale,950000.0,4,3,1751.0,40.8151138,-73.8252313,14,0,10,1,91,49,0,0,500,10,2,1,6,21,Bronx,10465,1751.0,0–1 miles,4+ miles,1–2 miles,3–4 miles,0–1 miles,0–1 miles,4+ miles,4+ miles,0–1 miles,1–2 miles,2–3 miles,1–2 miles,1–2 miles,1–2 miles,45.0,62.766447838413015
Co-op for sale,579000.0,1,1,750.0,40.774596,-73.9835364,14,3,100,19,2327,168,13,16,1433,108,1,28,23,182,Manhattan,10023,13780.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Co-op for sale,579000.0,1,1,750.0,40.774596,-73.9835364,14,3,100,19,2329,168,13,16,1433,108,1,28,23,181,Manhattan,10023,13780.0,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,2–3 miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
House for sale,3800000.0,4,5,2457.0,40.8065121,-73.9460735,29,0,72,3,990,227,5,3,1184,75,0,20,16,126,Manhattan,10027,3456.0,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,26.0,85.32013501928847
Multi-family home for sale,1288000.0,4,2,2457.0,40.5962505,-73.9437547,6,0,33,1,223,62,1,0,977,33,1,1,3,46,Brooklyn,11229,2200.0,1–2 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,4+ miles,0–1 miles,0–1 miles,2–3 miles,2–3 miles,1–2 miles,0–1 miles,61.0,62.766447838413015
Condo for sale,1100000.0,2,2,967.0,40.7451596,-73.9718378,18,3,136,42,3464,198,13,21,1598,143,1,44,26,227,Manhattan,10016,13780.0,1–2 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,17.0,75.10102633709577
Pending,1895000.0,3,2.5,1549.5,40.7889987,-73.9777615,12,2,76,9,1752,168,8,9,1292,83,0,20,22,136,Manhattan,10024,2200.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
Pending,1895000.0,3,2.5,1549.5,40.7889987,-73.9777615,12,2,76,9,1756,168,8,9,1292,83,0,20,22,136,Manhattan,10024,2200.0,0–1 miles,1–2 miles,0–1 miles,1–2 miles,0–1 miles,0–1 miles,1–2 miles,1–2 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,20.0,75.10102633709577
House for sale,2195000.0,Studio,1,1672.0,40.6692466,-73.9525702,28,0,111,19,997,195,3,0,1796,114,0,9,5,147,Brooklyn,11225,1672.0,1–2 miles,4+ miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,0–1 miles,4+ miles,0–1 miles,1–2 miles,0–1 miles,71.0,62.766447838413015
