Address line 1,Address line 2,Full Address,Latitude,Longitude,Number_of_Parks_Nearby,Distance_to_Nearest_Parks_miles,Number_of_Malls_Nearby,Distance_to_Nearest_Malls_miles,Number_of_Metros_Nearby,Distance_to_Nearest_Metros_miles,Number_of_Clubs_Nearby,Distance_to_Nearest_Clubs_miles,Number_of_Restaurants_Nearby,Distance_to_Nearest_Restaurants_miles,Number_of_Schools_Nearby,Distance_to_Nearest_Schools_miles,Number_of_Colleges_Nearby,Distance_to_Nearest_Colleges_miles,Number_of_Universities_Nearby,Distance_to_Nearest_Universities_miles,Number_of_Buses_Nearby,Distance_to_Nearest_Buses_miles,Number_of_Trains_Nearby,Distance_to_Nearest_Trains_miles,Number_of_Airports_Nearby,Distance_to_Nearest_Airports_miles,Number_of_Museums_Nearby,Distance_to_Nearest_Museums_miles,Number_of_Libraries_Nearby,Distance_to_Nearest_Libraries_miles,Number_of_Grocery_stores_Nearby,Distance_to_Nearest_Grocery_stores_miles,borough
13528 Horace Harding Expy,"Flushing, NY 11367","13528 Horace Harding Expy Flushing, NY 11367 ",40.7424651,-73.8301552,13,0.5166417251904746,2,1.0209433368101326,21,1.168277829339733,5,1.367865410661501,659,0.2319106617533712,38,0.4145880924633885,1,1.90632179224627,0,inf,1393,0.037584110908898,28,1.0049885528934936,0,inf,1,0.8130111394883642,3,1.264542329780436,116,0.260925549531004,Not Found
21-66 33rd Rd Unit 9A,"Astoria, NY 11106","21-66 33rd Rd Unit 9A Astoria, NY 11106 ",40.7632199,-73.93122,10,1.4311455342166493,2,2.731149823938084,88,0.3122926047377291,23,0.7210912875684458,2098,0.1277838056133144,147,0.4781671011448657,7,1.5618091254127402,7,1.2475006195112404,1538,0.0914305799406356,93,0.3122926047377291,1,2.9214424252292983,16,0.6149880712081223,18,0.3223492856310074,191,0.1334969579344535,Not Found
119-35 191st St,"Saint Albans, NY 11412","119-35 191st St Saint Albans, NY 11412 ",40.6883333,-73.7581759,18,0.1797839097875497,0,inf,6,2.15118996599791,4,0.594952611215492,176,0.3010000365437735,28,0.5066560318078815,0,inf,0,inf,1111,0.0674945515226066,19,0.4375438428987439,0,inf,0,inf,2,1.071202576447387,56,0.2610419134654803,Not Found
60 Riverside Blvd Apt 3001,"New York, NY 10069","60 Riverside Blvd Apt 3001 New York, NY 10069 ",40.7745179,-73.990823,15,0.2524135476987386,3,0.5948934809129307,94,0.4602289773685907,21,0.6020708391012431,2308,0.1117187060441323,161,0.1145469064157262,13,0.2291645048678281,17,0.407740713820315,1361,0.1234093619220896,102,0.4602289773685907,1,2.8744503070005125,27,0.4921308577583708,24,0.3278789935944817,164,0.1005414914489665,Not Found
444 E 75th St Apt 19C,"New York, NY 10021","444 E 75th St Apt 19C New York, NY 10021 ",40.7692128,-73.9536324,14,0.9882531559313206,2,1.5327466817187982,106,0.2529847017971856,26,1.026243883688802,2468,0.0358404816802952,176,0.0748114305244334,10,0.5665368159635948,12,0.3150245246652809,1561,0.0667877000132133,112,0.2529847017971856,1,2.558458788376666,27,0.6178508348859838,22,0.5595455071542643,203,0.1237545534210863,Not Found
173-12 89th Ave,"Jamaica, NY 11432","173-12 89th Ave Jamaica, NY 11432 ",40.7101299,-73.7877332,21,0.1868791985239188,0,inf,15,0.2691186049341176,7,1.5160093041126037,351,0.1630306932429899,33,0.2564243819548107,1,2.308250006255074,0,inf,1476,0.1545136144688363,23,0.2691186049341176,0,inf,1,2.37132728148142,3,1.9229475470970985,84,0.1505191078048756,Not Found
87-10 204 204 Steet Unit A62,"Hollis, NY 11423","87-10 204 204 Steet Unit A62 Hollis, NY 11423 ",40.7235199,-73.7625499,20,1.0072205570788213,0,inf,6,1.345240203473838,3,2.881088412764908,268,0.1980231356921684,20,0.7382766868984487,0,inf,0,inf,1250,0.0148593955903214,17,0.9461110881125292,0,inf,1,2.987392176426737,2,2.3197010367690565,70,0.2054323970129571,Not Found
33-71 Prince St Unit 12H,"Flushing, NY 11354","33-71 Prince St Unit 12H Flushing, NY 11354 ",40.765949,-73.833088,13,0.2241185937304981,2,0.6021614123083706,12,0.4664356782953883,2,0.2699763044433145,437,0.1008828708084875,24,0.2569688971989815,0,inf,0,inf,1012,0.1257161226738516,17,0.4664356782953883,1,2.1251948908101537,1,2.210560130929156,4,0.3914297166720777,80,0.2116439945684995,Not Found
611 W 56th St Ph 35,"New York, NY 10019","611 W 56th St Ph 35 New York, NY 10019 ",40.7698828,-73.9919539,16,0.1534322001772054,3,0.4894471387310224,99,0.5366826269114618,24,0.31616720446538,2593,0.0291333603413356,158,0.1961800373324174,12,0.2234208611122893,21,0.4607090464820619,1411,0.0198880970073791,109,0.5366826269114618,1,2.596622630759845,30,0.5904175307128574,24,0.3614436895051563,166,0.1827342525004181,Not Found
303 E 57th St Apt 23F,"New York, NY 10022","303 E 57th St Apt 23F New York, NY 10022 ",40.7593679,-73.9650504,15,0.5487981752629357,3,1.121941092080063,122,0.265830200564017,43,0.4058084828855733,3161,0.0195874458112356,179,0.0751355169301095,12,0.5389751658193471,21,0.6488326044634274,1609,0.0237839586417594,128,0.265830200564017,1,1.720903845623753,36,0.387498803828859,24,0.2789119627175032,221,0.0517781696659073,Not Found
4 E 95th St # 2A,"New York, NY 10128","4 E 95th St # 2A New York, NY 10128 ",40.786914,-73.9558255,19,0.6309723030278535,1,1.9073635884715343,95,0.2683260758299308,16,1.071742897038402,1963,0.1140589808476554,210,0.1389349807757398,9,1.431296980976786,7,1.529974387264362,1431,0.0550753510608723,99,0.2683260758299308,0,inf,21,0.540876892789388,23,0.8744161892156476,166,0.1337217293193416,Not Found
15 W 24th St Apt 6,"New York, NY 10010","15 W 24th St Apt 6 New York, NY 10010 ",40.7428385,-73.9902251,20,0.2976272187438413,3,0.3751751725567427,134,0.1156048984236083,38,0.0509148065685853,3298,0.0410927921869054,172,0.1087430483690033,14,0.1084666037019598,23,0.2174759173332519,1611,0.08514447526979,147,0.1156048984236083,1,1.0526057839987213,50,0.1379589523932796,28,0.228667181063078,203,0.0548490174637539,Not Found
43-10 Kissena Blvd Unit 5B,"Flushing, NY 11355","43-10 Kissena Blvd Unit 5B Flushing, NY 11355 ",40.7550564,-73.824651,13,0.4599552145294215,2,0.2898000959929505,14,0.4199643371753861,2,0.6090712728575173,534,0.1270275515457147,29,0.3571631946975944,1,2.79585233821951,0,inf,1169,0.0132803882004027,21,0.3629507869223278,1,2.9386586661881635,1,1.3518305161160329,4,0.9725469787605108,88,0.1516012000404963,Not Found
