Property Link,Type of House,Property Value,bed,bath,"
bed",Area (Sqft),Address line 1,Address line 2,Full Address,PropertyLotSizeMetastyles__StyledPropertyLotSizeMeta-rui__sc-1cz4zco-0,lot size,appreciate/depreciate
https://www.realtor.com/realestateandhomes-detail/146-Franklin-St-Bsmt-B_New-York_NY_10013_M96509-71060?from=srp-list-card,Pending,"$2,150,000",3,1,,"3,022",144 Franklin St Unit B,"Manhattan, NY 10013",,,,$500k
https://www.realtor.com/realestateandhomes-detail/25-Ficarelle-Dr_Staten-Island_NY_10309_M48843-85679?from=srp-list-card,Contingent,"$799,900",3,2,,"1,677",25 Ficarelle Dr,"Staten Island, NY 10309",,acre lot,0.23,
https://www.realtor.com/realestateandhomes-detail/42-Allen-St-3B4B_New-York_NY_10002_M92562-65090?from=srp-list-card,Condo for sale,"$1,695,000",2,3,,"1,346",42 Allen St # 3B & 4B,"New York, NY 10002",,,,
https://www.realtor.com/realestateandhomes-detail/50-Brighton-1st-Rd-Apt-15BB_Brooklyn_NY_11235_M91858-71160?from=srp-list-card,Co-op for sale,"$331,000",Studio,1,1,750,50 Brighton 1st Rd Apt 15BB,"Brooklyn, NY 11235",,,,$1k
https://www.realtor.com/realestateandhomes-detail/111-Mason-Blvd_Staten-Island_NY_10309_M95883-87086?from=srp-list-card,Multi-family home for sale,"$1,300,000",3,3,,"2,500",111 Mason Blvd,"Staten Island, NY 10309",,sqft lot,"4,080",
https://www.realtor.com/realestateandhomes-detail/36-Sutton-Pl-S-Apt-13D_New-York_NY_10022_M91105-21776?from=srp-list-card,Co-op for sale,"$549,000",1,1,,"1,088",36 Sutton Pl S Apt 13D,"Manhattan, NY 10022",,,,$26k
https://www.realtor.com/realestateandhomes-detail/2909-137th-St-Apt-4K_Flushing_NY_11354_M95276-15723?from=srp-list-card,Co-op for sale,"$450,000",3,2,,"1,300",29-09 137th St Unit 4K,"Flushing, NY 11354",,,,
https://www.realtor.com/realestateandhomes-detail/155-Bay-St-Apt-4F_Staten-Island_NY_10301_M38645-17228?from=srp-list-card,Condo for sale,"$558,000",2,2,,"1,122",155 Bay St Apt 4F,"Staten Island, NY 10301",,sqft lot,"1,122",$2k
https://www.realtor.com/realestateandhomes-detail/2953-Pearsall-Ave_Bronx_NY_10469_M37391-30172?from=srp-list-card,House for sale,"$570,000",3,2.5,,"1,728",2953 Pearsall Ave,"Bronx, NY 10469",,sqft lot,"1,799",
https://www.realtor.com/realestateandhomes-detail/872-Park-Pl_Brooklyn_NY_11216_M45661-28783?from=srp-list-card,Multi-family home for sale,"$2,500,000",1,1,,,872 Park Pl,"Brooklyn, NY 11216",,sqft lot,"2,646",
